"","char.name","char.stat","char.value"
"80","Abi Branning","Grandmothers","Reenie Branning (deceased)Cora Cross Dot Branning (step)"
"81","Abi Branning","Uncles","Derek Branning (deceased) Jack Branning"
"82","Abi Branning","Aunts","Suzy Branning Carol Jackson April Branning Ava Hartman Rainie Cross"
"83","Abi Branning","Nephews","Louie Beale"
"84","Abi Branning","First cousins","Joey Branning Alice Branning Bianca Butcher Robbie Jackson Sonia Fowler Billie Jackson Rebecca Branning Kevin Branning Penny Branning Amy Mitchell Richard Mitchell James Branning (deceased) Dexter Hartman"
"85","Abi Branning","Other known relatives","Tiffany Butcher-Baker Morgan Butcher Whitney Dean (adoptive) Liam Butcher Bex Fowler Sami Jackson"
"86","Abi Branning","Pets","Rolf Marge Marge (II)Gilbert Musty Sugar Tramp"
"87","Abi Branning","Page Links:","What Links Here"
"88","Abi Branning Jr","Portrayed by","Uncredited (search)"
"89","Abi Branning Jr","Introduced by","John Yorke (2017)"
"90","Abi Branning Jr","Gender"," Female"
"91","Abi Branning Jr","First Appearance","29 December 2017"
"92","Abi Branning Jr","Last Appearance","19 February 2021"
"93","Abi Branning Jr","Credits","List of appearances"
"94","Abi Branning Jr","Cause/Reason","Taken by Max Branning while visiting him in France"
"95","Abi Branning Jr","Duration","2017-2021"
"96","Abi Branning Jr","Episode Count"," 65 "
"97","Abi Branning Jr","Doof Doof Count"," 2 "
"98","Abi Branning Jr","Address","Croatia (2021-)"
"99","Abi Branning Jr","Status","Alive"
"100","Abi Branning Jr","Age","4"
"101","Abi Branning Jr","Date of Birth","29 December 2017"
"102","Abi Branning Jr","Classification","Former; regular"
"103","Abi Branning Jr","Father","Steven Beale (deceased)"
"104","Abi Branning Jr","Mother","Abi Branning (deceased)"
"105","Abi Branning Jr","Legal guardian","Max BranningRainie Highway"
"106","Abi Branning Jr","Half-Brothers","Roland Highway (legal)"
"107","Abi Branning Jr","Grandfathers","Max BranningSimon WicksIan Beale (adoptive)"
"108","Abi Branning Jr","Grandmothers","Tanya CrossCindy Beale (deceased)"
"109","Abi Branning Jr","Great-grandfathers","Tom Williams Brian Wicks  William Cross Jim Branning (deceased) Pete Beale (adoptive; deceased)"
"110","Abi Branning Jr","Great-grandmothers","Bev WilliamsPat Evans (deceased)Cora CrossReenie Branning (deceased)Kathy Beale (adoptive)"
"111","Abi Branning Jr","Uncles","Oscar BranningBradley Branning (deceased)Peter BealeBobby Beale (adoptive)"
"112","Abi Branning Jr","Aunts","Lauren BranningLucy Beale (deceased) Cindy WilliamsAnnie Carter"
"113","Abi Branning Jr","Great-uncles","Jack BranningDerek Branning (deceased)David WicksBen Mitchell (adoptive)"
"114","Abi Branning Jr","Great-aunts","Carol JacksonSuzy BranningApril BranningRainie HighwayAva HartmanGina WilliamsDonna Ludlow (adoptive; deceased)"
"115","Abi Branning Jr","First cousins","Louie BealeBeth Williams"
"116","Abi Branning Jr","Other known relatives","Joe WicksJoey BranningAlice BranningBianca ButcherRobbie JacksonBillie Jackson (deceased)Sonia FowlerPenny BranningAmy MitchellRicky MitchellJames Branning(deceased)Natasha ButcherLiam ButcherTiffany ButcherMorgan ButcherBex FowlerSami JacksonJimmy Harris"
"117","Abi Branning Jr","Page Links:","What Links Here"
"118","Abigail Chadwick","Portrayed by","— (search)"
"119","Abigail Chadwick","Gender"," Female"
"120","Abigail Chadwick","Status","Deceased"
"121","Abigail Chadwick","Classification","Unseen"
"122","Abigail Chadwick","Sons","Kofi Tavernier"
"123","Abigail Chadwick","Page Links:","What Links Here"
"124","Accordion Player (2008)","Portrayed by","Roger Layton (search)"
"125","Accordion Player (2008)","Introduced by","Diederick Santer (2008)"
"126","Accordion Player (2008)","Gender"," Male"
"127","Accordion Player (2008)","Appears on","10 April 2008"
"128","Accordion Player (2008)","Duration","2008"
"129","Accordion Player (2008)","Episode Count"," 1 "
"130","Accordion Player (2008)","Status","Alive"
"131","Accordion Player (2008)","Classification","Former; guest"
"132","Accordion Player (2008)","Page Links:","What Links Here"
"133","Adam (1996)","Portrayed by","Bradley French (search)"
"134","Adam (1996)","Introduced by","Jane Harris (1996)"
"135","Adam (1996)","Gender"," Male"
"136","Adam (1996)","First Appearance","25 November 1996"
"137","Adam (1996)","Last Appearance","23 December 1996"
"138","Adam (1996)","Duration","1996"
"139","Adam (1996)","Episode Count"," 8 "
"140","Adam (1996)","Status","Alive"
"141","Adam (1996)","Occupation","Student"
"142","Adam (1996)","Classification","Former; guest"
"143","Adam (1996)","Mother","Mrs Woods"
"144","Adam (1996)","Page Links:","What Links Here"
"145","Adam Bateman","Portrayed by","Stephen Rahman-Hughes"
"146","Adam Bateman","Introduced by","John Yorke (2018)"
"147","Adam Bateman","Gender"," Male"
"148","Adam Bateman","First Appearance","23 August 2018"
"149","Adam Bateman","Last Appearance","3 December 2019"
"150","Adam Bateman","Credits","List of appearances"
"151","Adam Bateman","Cause/Reason","Left Walford after Honey Mitchell exposed him as a serial cheat"
"152","Adam Bateman","Duration","2018-2019"
"153","Adam Bateman","Episode Count"," 75 "
"154","Adam Bateman","Doof Doof Count"," 2 "
"155","Adam Bateman","Address","5C Albert Square"
"156","Adam Bateman","Status","Alive"
"157","Adam Bateman","Occupation","Dentist"
"158","Adam Bateman","Classification","Former; regular"
"159","Adam Bateman","Romances","Honey Mitchell (2018-2019) Habiba Ahmed (2019; affair)  Sally (2019; affair)"
"160","Adam Bateman","Adoptive father","Arshad Ahmed (foster)"
"161","Adam Bateman","Adoptive mother","Mariam Ahmed (foster)"
"162","Adam Bateman","Page Links:","What Links Here"
"163","Adam Best","Portrayed by","David Proud"
"164","Adam Best","Introduced by","Diederick Santer (2009)"
"165","Adam Best","Gender"," Male"
"166","Adam Best","First Appearance","10 September 2009"
"167","Adam Best","Last Appearance","19 July 2010"
"168","Adam Best","Credits","List of appearances"
"169","Adam Best","Cause/Reason","Left after being dumped by Libby Fox"
"170","Adam Best","Duration","2009-2010"
"171","Adam Best","Episode Count"," 40 "
"172","Adam Best","Address","Unknown"
"173","Adam Best","Status","Alive"
"174","Adam Best","Occupation","Student"
"175","Adam Best","Classification","Former; guest"
"176","Adam Best","Romances","Libby Fox (2010)"
"177","Adam Best","Mother","Amanda Best"
"178","Adam Best","Page Links:","What Links Here"
"179","Adam Gorman","Portrayed by","Ian Gelder (search)"
"180","Adam Gorman","Introduced by","Dominic Treadwell-Collins (2016)"
"181","Adam Gorman","Gender"," Male"
"182","Adam Gorman","First Appearance","10 May 2016"
"183","Adam Gorman","Last Appearance","12 May 2016"
"184","Adam Gorman","Duration","2016"
"185","Adam Gorman","Episode Count"," 2 "
"186","Adam Gorman","Status","Alive"
"187","Adam Gorman","Occupation","Doctor"
"188","Adam Gorman","Classification","Former; guest"
"189","Adam Gorman","Page Links:","What Links Here"
"190","Adam Steadman","Portrayed by","Uncredited (search)"
"191","Adam Steadman","Introduced by","Julia Smith (1985)"
"192","Adam Steadman","Appears on","21 November 1985"
"193","Adam Steadman","Cause/Reason","Lost a Boxing match to Ian Beale, not seen since"
"194","Adam Steadman","Duration","1985"
"195","Adam Steadman","Episode Count"," 1 "
"196","Adam Steadman","Occupation","Amateur boxer"
"197","Adam Steadman","Classification","Former; extra"
"198","Adam Steadman","Page Links:","What Links Here"
"199","Adam White","Portrayed by","Ben Wigzell"
"200","Adam White","Introduced by","Lorraine Newman (2012)"
"201","Adam White","Gender"," Male"
"202","Adam White","First Appearance","17 December 2012"
"203","Adam White","Last Appearance","17 March 2014"
"204","Adam White","Cause/Reason","Warned off returning to Walford by Ronnie Mitchell."
"205","Adam White","Duration","2012-2014"
"206","Adam White","Episode Count"," 9 "
"207","Adam White","Address","East London"
"208","Adam White","Status","Alive"
"209","Adam White","Occupation","Criminal"
"210","Adam White","Classification","Former; recurring"
"211","Adam White","Mother","Nora White"
"212","Adam White","Brothers","Carl White (deceased)"
"213","Adam White","Page Links:","What Links Here"
"214","Adeen Kelly","Portrayed by","Ebony O'Tool-Acheampong (search)"
"215","Adeen Kelly","Introduced by","Dominic Treadwell-Collins"
"216","Adeen Kelly","Spin-off Appearances","Redwater"
"217","Adeen Kelly","Gender"," Female"
"218","Adeen Kelly","Status","Alive"
"219","Adeen Kelly","Page Links:","What Links Here"
"220","Adele (1996)","Portrayed by","Elizabeth Edmonds"
"221","Adele (1996)","Introduced by","Jane Harris (1996)"
"222","Adele (1996)","Gender"," Female"
"223","Adele (1996)","Appears on","15 October 1996"
"224","Adele (1996)","Duration","1996"
"225","Adele (1996)","Episode Count"," 1 "
"226","Adele (1996)","Status","Alive"
"227","Adele (1996)","Classification","Former; guest"
"228","Adele (1996)","Page Links:","What Links Here"
"229","Adi Ferreira","Portrayed by","Ameet Chana"
"230","Adi Ferreira","Introduced by","Louise Berridge (2003)"
"231","Adi Ferreira","Gender"," Male"
"232","Adi Ferreira","First Appearance","5 June 2003"
"233","Adi Ferreira","Last Appearance","22 March 2005"
"234","Adi Ferreira","Credits","List of appearances"
"235","Adi Ferreira","Cause/Reason","Banished from Walford with the rest of his family by Johnny Allen"
"236","Adi Ferreira","Duration","2003-2005"
"237","Adi Ferreira","Episode Count"," 159 "
"238","Adi Ferreira","Doof Doof Count"," 3 "
"239","Adi Ferreira","Address","3 Albert Square (2003-2005)"
"240","Adi Ferreira","Status","Alive"
"241","Adi Ferreira","Date of Birth","18 October 1976"
"242","Adi Ferreira","Occupation","Minicab driver  Market stall trader"
"243","Adi Ferreira","Classification","Former; regular"
"244","Adi Ferreira","Romances","Sasha Perkins (2003-2005)"
"245","Adi Ferreira","Father","Dan Ferreira"
"246","Adi Ferreira","Mother","Pushpa Ferreira"
"247","Adi Ferreira","Brothers","Ash Ferreira Ronny Ferreira"
"248","Adi Ferreira","Sisters","Kareena Ferreira"
"249","Adi Ferreira","Half-Brothers","Tariq Larousi"
"250","Adi Ferreira","Page Links:","What Links Here"
"251","Adrian Bain","Portrayed by","Joe Tucker"
"252","Adrian Bain","Introduced by","Bryan Kirkwood (2012)"
"253","Adrian Bain","Gender"," Male"
"254","Adrian Bain","First Appearance","6 December 2012"
"255","Adrian Bain","Last Appearance","2 January 2015"
"256","Adrian Bain","Duration","2012-2015"
"257","Adrian Bain","Status","Alive"
"258","Adrian Bain","Occupation","Police Officer"
"259","Adrian Bain","Classification","Former; guest"
"260","Adrian Bain","Page Links:","What Links Here"
"261","Adrian Bell","Portrayed by","Joseph Marcell"
"262","Adrian Bell","Introduced by","Leonard Lewis (1992)"
"263","Adrian Bell","Gender"," Male"
"264","Adrian Bell","First Appearance","4 August 1992"
"265","Adrian Bell","Last Appearance","6 August 1992"
"266","Adrian Bell","Cause/Reason","Left after finishing his repair job on The Queen Victoria"
"267","Adrian Bell","Duration","1992"
"268","Adrian Bell","Episode Count"," 2 "
"269","Adrian Bell","Status","Alive"
"270","Adrian Bell","Occupation","Carpenter"
"271","Adrian Bell","Classification","Former; guest"
"272","Adrian Bell","Page Links:","What Links Here"
"273","Adrian Harding","Portrayed by","Terence Harvey (search)"
"274","Adrian Harding","Gender"," Male"
"275","Adrian Harding","First Appearance","15 December 1997"
"276","Adrian Harding","Last Appearance","5 January 1998"
"277","Adrian Harding","Duration","1997-1998"
"278","Adrian Harding","Episode Count"," 3 "
"279","Adrian Harding","Status","Alive"
"280","Adrian Harding","Occupation","Barrister"
"281","Adrian Harding","Classification","Former; guest"
"282","Adrian Harding","Page Links:","What Links Here"
"283","Adrian Quinlan","Portrayed by","Ben Turner"
"284","Adrian Quinlan","Introduced by","Dominic Treadwell-Collins (2015)"
"285","Adrian Quinlan","Gender"," Male"
"286","Adrian Quinlan","Appears on","8 May 2015"
"287","Adrian Quinlan","Duration","2015"
"288","Adrian Quinlan","Episode Count"," 1 "
"289","Adrian Quinlan","Status","Alive"
"290","Adrian Quinlan","Occupation","Barrister"
"291","Adrian Quinlan","Classification","Former; guest"
"292","Adrian Quinlan","Page Links:","What Links Here"
"293","Afia Khan","Portrayed by","Meryl Fernandes"
"294","Afia Khan","Introduced by","Diederick Santer (2009)"
"295","Afia Khan","Gender"," Female"
"296","Afia Khan","First Appearance","29 December 2009"
"297","Afia Khan","Last Appearance","7 June 2012"
"298","Afia Khan","Cause/Reason","Left to go travelling after her marriage to Tamwar broke down"
"299","Afia Khan","Duration","2009-2012"
"300","Afia Khan","Episode Count"," 109 "
"301","Afia Khan","Doof Doof Count"," 6 "
"302","Afia Khan","Address","Pakistan"
"303","Afia Khan","Status","Alive"
"304","Afia Khan","Occupation","Receptionist  Restaurateur"
"305","Afia Khan","Classification","Former; regular"
"306","Afia Khan","Husband","Tamwar Masood (2011-2013)"
"307","Afia Khan","Father-in-law","Masood Ahmed (2011-2013)"
"308","Afia Khan","Mother-in-law","Zainab Masood (2011-2013; also stepmother)"
"309","Afia Khan","Father","Yusef Khan (deceased)"
"310","Afia Khan","Aunts","Shameem"
"311","Afia Khan","Other known relatives","TariqSyed Masood (brother-in-law; 2011-2013)Shabnam Masood (sister-in-law; 2011-2013)Kamil Masood (brother-in-law; 2011-2013)"
"312","Afia Khan","Page Links:","What Links Here"
"313","Agnes Byrne","Portrayed by","Fionnula Flanagan (search)"
"314","Agnes Byrne","Introduced by","Dominic Treadwell-Collins"
"315","Agnes Byrne","Spin-off Appearances","Redwater"
"316","Agnes Byrne","Gender"," Female"
"317","Agnes Byrne","Status","Alive"
"318","Agnes Byrne","Page Links:","What Links Here"
"319","Agnes Novak","Portrayed by","Margareta Szabo"
"320","Agnes Novak","Introduced by","Sean O'Connor (2016)"
"321","Agnes Novak","Gender"," Female"
"322","Agnes Novak","Appears on","28 November 2016"
"323","Agnes Novak","Duration","2016"
"324","Agnes Novak","Episode Count"," 1 "
"325","Agnes Novak","Status","Alive"
"326","Agnes Novak","Occupation","Environmental Health Officer"
"327","Agnes Novak","Classification","Former; guest"
"328","Agnes Novak","Page Links:","What Links Here"
"329","Masood Ahmed","Portrayed by","Nitin Ganatra"
"330","Masood Ahmed","Introduced by","Diederick Santer (2007) John Yorke (2017)"
"331","Masood Ahmed","Spin-off Appearances","Beatles Tribute (2007)Once Upon a Time in Albert Square (2018)"
"332","Masood Ahmed","Gender"," Male"
"333","Masood Ahmed","First Appearance","16 October 2007"
"334","Masood Ahmed","Last Appearance","19 February 2019"
"335","Masood Ahmed","Credits","List of appearances"
"336","Masood Ahmed","Cause/Reason","Left Walford for Australia"
"337","Masood Ahmed","Duration","2007-2019"
"338","Masood Ahmed","Episode Count"," 736 "
"339","Masood Ahmed","Doof Doof Count"," 31 "
"340","Masood Ahmed","Address","Australia (2019-)"
"341","Masood Ahmed","Status","Alive"
"342","Masood Ahmed","Age","61"
"343","Masood Ahmed","Date of Birth","4 April 1961"
"344","Masood Ahmed","Occupation","Co-owner at Walford East (Restaurant)"
"345","Masood Ahmed","Classification","Former; regular"
"346","Masood Ahmed","Wife","Zainab Khan (1983-2011)"
"347","Masood Ahmed","Fiancée","Zainab Khan (2011-2013)"
"348","Masood Ahmed","Romances","Zainab Khan (1980's; affair)Jane Beale (2009-2010; affair, 2011, 2016; kissed)Ayesha Rana (2013)Carol Jackson (2013)Fatima Inzamam (2015; kissed)Carmel Kazemi (2015-2016)Belinda Peacock (2016)Kathy Beale (2018-2019)"
"349","Masood Ahmed","Sons","Syed Masood Tamwar Masood Kamil Masood"
"350","Masood Ahmed","Son-in-law","Christian Clarke (2012-)Kush Kazemi (2015-2016)"
"351","Masood Ahmed","Daughters","Shabnam Masood"
"352","Masood Ahmed","Daughter-in-law","Amira Masood (2010-2012)Afia Masood (2011-2013)Nancy Masood (2019-2021)"
"353","Masood Ahmed","Grandsons","Zaair Kazemi (deceased)"
"354","Masood Ahmed","Granddaughters","Yasmin Masood Jade Green"
"355","Masood Ahmed","Brothers","Inzamam Ahmed AJ Ahmed"
"356","Masood Ahmed","Sister-in-law","Fatima Inzamam (backstory)Aliyah Ahmed (backstory)"
"357","Masood Ahmed","Uncles","Arshad Ahmed"
"358","Masood Ahmed","Aunts","Mariam Ahmed"
"359","Masood Ahmed","Nephews","Ali Inzamam"
"360","Masood Ahmed","Nieces","Jamila Inzamam"
"361","Masood Ahmed","First cousins","Habiba AhmedIqra Ahmed"
"362","Masood Ahmed","Page Links:","What Links Here"
"363","Ahmet (2008)","Portrayed by","Tamer Hassan"
"364","Ahmet (2008)","Introduced by","Diederick Santer (2008)"
"365","Ahmet (2008)","Gender"," Male"
"366","Ahmet (2008)","First Appearance","5 December 2008"
"367","Ahmet (2008)","Last Appearance","15 December 2008"
"368","Ahmet (2008)","Duration","2008"
"369","Ahmet (2008)","Episode Count"," 2 "
"370","Ahmet (2008)","Status","Alive"
"371","Ahmet (2008)","Classification","Former; guest"
"372","Ahmet (2008)","Romances","Suzy Branning (prior to 2008)"
"373","Ahmet (2008)","Page Links:","What Links Here"
"374","Aidan Brosnan","Portrayed by","Sean Maguire"
"375","Aidan Brosnan","Introduced by","Leonard Lewis (1993)"
"376","Aidan Brosnan","Gender"," Male"
"377","Aidan Brosnan","First Appearance","14 January 1993"
"378","Aidan Brosnan","Last Appearance","28 December 1993"
"379","Aidan Brosnan","Credits","List of appearances"
"380","Aidan Brosnan","Cause/Reason","Returned to Ireland after disowning girlfriend Mandy Salter"
"381","Aidan Brosnan","Duration","1993"
"382","Aidan Brosnan","Episode Count"," 68 "
"383","Aidan Brosnan","Doof Doof Count"," 5 "
"384","Aidan Brosnan","Address","Ireland (backstory; 1993-)"
"385","Aidan Brosnan","Status","Alive"
"386","Aidan Brosnan","Occupation","Apprentice Footballer"
"387","Aidan Brosnan","Classification","Former; regular"
"388","Aidan Brosnan","Romances","Mandy Salter (1993)"
"389","Aidan Brosnan","Page Links:","What Links Here"
"390","Aidan Maguire","Other names","JP Maguire"
"391","Aidan Maguire","Portrayed by","Patrick Bergin"
"392","Aidan Maguire","Introduced by","John Yorke (2017)"
"393","Aidan Maguire","Gender"," Male"
"394","Aidan Maguire","First Appearance","27 November 2017"
"395","Aidan Maguire","Last Appearance","9 March 2018"
"396","Aidan Maguire","Cause/Reason","Left Walford after being blackmailed by Phil Mitchell, who threatened to expose that they had murdered Luke Browning."
"397","Aidan Maguire","Duration","2017-2018"
"398","Aidan Maguire","Episode Count"," 31 "
"399","Aidan Maguire","Doof Doof Count"," 3 "
"400","Aidan Maguire","Address","Unknown"
"401","Aidan Maguire","Status","Alive"
"402","Aidan Maguire","Occupation","Gangster"
"403","Aidan Maguire","Classification","Former; regular"
"404","Aidan Maguire","Wife","Ciara Maguire (backstory; divorced)"
"405","Aidan Maguire","Father","Joseph Patrick Maguire"
"406","Aidan Maguire","Brothers","Connor Maguire (deceased)"
"407","Aidan Maguire","Brother-in-law","Ray Kelly (backstory)"
"408","Aidan Maguire","Page Links:","What Links Here"
"409","Aisha Roberts","Portrayed by","Aisha Jacob (search)"
"410","Aisha Roberts","Introduced by","Julia Smith (1987)"
"411","Aisha Roberts","Gender"," Female"
"412","Aisha Roberts","First Appearance","18 August 1987"
"413","Aisha Roberts","Last Appearance","24 August 1989"
"414","Aisha Roberts","Duration","1987-1989"
"415","Aisha Roberts","Episode Count"," 39 "
"416","Aisha Roberts","Status","Alive"
"417","Aisha Roberts","Classification","Former; recurring"
"418","Aisha Roberts","Father","Darren Roberts"
"419","Aisha Roberts","Brothers","Junior Roberts"
"420","Aisha Roberts","Aunts","Carmel Roberts"
"421","Aisha Roberts","Page Links:","What Links Here"
"422","AJ Ahmed","Portrayed by","Phaldut Sharma"
"423","AJ Ahmed","Introduced by","Bryan Kirkwood (2012)"
"424","AJ Ahmed","Gender"," Male"
"425","AJ Ahmed","First Appearance","9 July 2012"
"426","AJ Ahmed","Last Appearance","9 January 2014"
"427","AJ Ahmed","Cause/Reason","Left for Birmingham"
"428","AJ Ahmed","Duration","2012-2014"
"429","AJ Ahmed","Episode Count"," 91 "
"430","AJ Ahmed","Address","Birmingham"
"431","AJ Ahmed","Status","Alive"
"432","AJ Ahmed","Occupation","Mechanic"
"433","AJ Ahmed","Classification","Former; regular"
"434","AJ Ahmed","Wife","Aliyah Ahmed (backstory; divorced)"
"435","AJ Ahmed","Brothers","Masood Ahmed Inzamam Ahmed"
"436","AJ Ahmed","Sister-in-law","Zainab Masood (1983-2011)Fatima Inzamam (backstory)"
"437","AJ Ahmed","Uncles","Arshad Ahmed"
"438","AJ Ahmed","Nephews","Syed MasoodTamwar Masood Kamil Masood Ali Inzamam"
"439","AJ Ahmed","Nieces","Shabnam Masood  Jamila Inzamam"
"440","AJ Ahmed","Great-nephews","Zaair Kazemi (deceased)"
"441","AJ Ahmed","Great-nieces","Yasmin MasoodJade Green"
"442","AJ Ahmed","Page Links:","What Links Here"
"443","Al (2006)","Portrayed by","Andrew McKay"
"444","Al (2006)","Introduced by","Kate Harwood (2006)"
"445","Al (2006)","Gender"," Male"
"446","Al (2006)","First Appearance","10 August 2006"
"447","Al (2006)","Last Appearance","25 August 2006"
"448","Al (2006)","Cause/Reason","Left after Sean Slater tried to kill him"
"449","Al (2006)","Duration","2006"
"450","Al (2006)","Episode Count"," 7 "
"451","Al (2006)","Status","Alive"
"452","Al (2006)","Occupation","Soldier (formerly)Security Guard (2006-)"
"453","Al (2006)","Classification","Former; guest"
"454","Al (2006)","Romances","Unnamed girlfriend (2000's)"
"455","Al (2006)","Page Links:","What Links Here"
"456","Al (31 March 2020)","Portrayed by","Daniel Solbe (search)"
"457","Al (31 March 2020)","Introduced by","Kate Oates (2020) Jon Sen (2020)"
"458","Al (31 March 2020)","Gender"," Male"
"459","Al (31 March 2020)","Appears on","31 March 2020"
"460","Al (31 March 2020)","Duration","2020"
"461","Al (31 March 2020)","Episode Count"," 1 "
"462","Al (31 March 2020)","Status","Alive"
"463","Al (31 March 2020)","Classification","Former; guest"
"464","Al (31 March 2020)","Page Links:","What Links Here"
"465","Al Jenkins","Portrayed by","Adam Croasdell"
"466","Al Jenkins","Introduced by","Diederick Santer (2009)"
"467","Al Jenkins","Gender"," Male"
"468","Al Jenkins","First Appearance","1 May 2009"
"469","Al Jenkins","Last Appearance","4 February 2010"
"470","Al Jenkins","Credits","List of appearances"
"471","Al Jenkins","Duration","2009-2010"
"472","Al Jenkins","Episode Count"," 44 "
"473","Al Jenkins","Status","Alive"
"474","Al Jenkins","Occupation","Doctor"
"475","Al Jenkins","Classification","Former; regular"
"476","Al Jenkins","Romances","Tanya Branning (2009)Chelsea Fox (2009)Roxy Slater (2009-2010)"
"477","Al Jenkins","Page Links:","What Links Here"
"478","Alaina Wilson","Portrayed by","Portia Booroff (search)"
"479","Alaina Wilson","Introduced by","John Yorke (2018)"
"480","Alaina Wilson","Gender"," Female"
"481","Alaina Wilson","Appears on","14 December 2018"
"482","Alaina Wilson","Duration","2018"
"483","Alaina Wilson","Episode Count"," 1 "
"484","Alaina Wilson","Status","Alive"
"485","Alaina Wilson","Occupation","Solicitor"
"486","Alaina Wilson","Classification","Former; guest"
"487","Alaina Wilson","Page Links:","What Links Here"
"488","Alan Daniels","Portrayed by","Garry Roost (search)"
"489","Alan Daniels","Introduced by","Diederick Santer (2008) Dominic Treadwell-Collins (2015)"
"490","Alan Daniels","Gender"," Male"
"491","Alan Daniels","First Appearance","17 April 2008"
"492","Alan Daniels","Last Appearance","31 July 2015"
"493","Alan Daniels","Duration","2008, 2015"
"494","Alan Daniels","Status","Alive"
"495","Alan Daniels","Occupation","Journalist"
"496","Alan Daniels","Classification","Former; guest"
"497","Alan Daniels","Page Links:","What Links Here"
